"SKU","Product name","Category","Source product URL","Source media reference","Role","Primary candidate YES/NO","Product mapping status","Rights status","Production approved YES/NO","Alt fact candidate","Image count","Gallery position","Quality status","Real project confirmed","Notes","Rights/mapping gate cleared YES/NO"
"MF-MAR-0033","Сакура","Гибкий мрамор","https://marmixflex.ru/tproduct/1706353951-235679185721-sakura","https://static.tildacdn.com/stor3865-3032-4666-b031-386261613765/47166285.png","product_primary","YES","OWNER CONFIRMED — this source product page gallery is the intended media set for this SKU","OWNER CONFIRMED RIGHT","NO","«Сакура» — товарное изображение; без неподтверждённых свойств","3","1","OWNER REVIEW REQUIRED — review selected unique asset once before production","NOT APPLICABLE — product-gallery media; no installation authorship claim","Владелец подтвердил галерею source product page как intended media set этого SKU. Права подтверждены. Качество selected media требует отдельного визуального sign-off.","YES"
"MF-MAR-0033","Сакура","Гибкий мрамор","https://marmixflex.ru/tproduct/1706353951-235679185721-sakura","https://static.tildacdn.com/stor6161-3438-4436-a436-623963613465/59929232.png","product_detail","NO","OWNER CONFIRMED — this source product page gallery is the intended media set for this SKU","OWNER CONFIRMED RIGHT","NO","Деталь товара «Сакура»","3","2","OWNER REVIEW REQUIRED — review selected unique asset once before production","NOT APPLICABLE — product-gallery media; no installation authorship claim","Владелец подтвердил принадлежность кадра gallery этого SKU. Дополнительный товарный кадр классифицирован как product_detail. Права подтверждены; quality sign-off остаётся отдельным.","YES"
"MF-MAR-0033","Сакура","Гибкий мрамор","https://marmixflex.ru/tproduct/1706353951-235679185721-sakura","https://static.tildacdn.com/stor6661-3031-4464-b231-336535333431/38981114.jpg","product_detail","NO","OWNER CONFIRMED — this source product page gallery is the intended media set for this SKU","OWNER CONFIRMED RIGHT","NO","Деталь товара «Сакура»","3","3","OWNER REVIEW REQUIRED — review selected unique asset once before production","NOT APPLICABLE — product-gallery media; no installation authorship claim","Владелец подтвердил принадлежность кадра gallery этого SKU. Дополнительный товарный кадр классифицирован как product_detail. Права подтверждены; quality sign-off остаётся отдельным.","YES"
"MF-MAR-0061","Вайт Голд","Гибкий мрамор","https://marmixflex.ru/tproduct/1706353951-364527501651-vait-gold","https://static.tildacdn.com/stor3833-6162-4133-b730-393631353831/64081519.png","product_primary","YES","OWNER CONFIRMED — this source product page gallery is the intended media set for this SKU","OWNER CONFIRMED RIGHT","NO","«Вайт Голд» — товарное изображение; без неподтверждённых свойств","3","1","OWNER REVIEW REQUIRED — review selected unique asset once before production","NOT APPLICABLE — product-gallery media; no installation authorship claim","Владелец подтвердил галерею source product page как intended media set этого SKU. Права подтверждены. Качество selected media требует отдельного визуального sign-off.","YES"
"MF-MAR-0061","Вайт Голд","Гибкий мрамор","https://marmixflex.ru/tproduct/1706353951-364527501651-vait-gold","https://static.tildacdn.com/stor3564-3563-4930-a234-633065303636/36065520.png","product_detail","NO","OWNER CONFIRMED — this source product page gallery is the intended media set for this SKU","OWNER CONFIRMED RIGHT","NO","Деталь товара «Вайт Голд»","3","2","OWNER REVIEW REQUIRED — review selected unique asset once before production","NOT APPLICABLE — product-gallery media; no installation authorship claim","Владелец подтвердил принадлежность кадра gallery этого SKU. Дополнительный товарный кадр классифицирован как product_detail. Права подтверждены; quality sign-off остаётся отдельным.","YES"
"MF-MAR-0061","Вайт Голд","Гибкий мрамор","https://marmixflex.ru/tproduct/1706353951-364527501651-vait-gold","https://static.tildacdn.com/stor3365-6134-4538-a430-643863616238/15906835.jpg","product_detail","NO","OWNER CONFIRMED — this source product page gallery is the intended media set for this SKU","OWNER CONFIRMED RIGHT","NO","Деталь товара «Вайт Голд»","3","3","OWNER REVIEW REQUIRED — review selected unique asset once before production","NOT APPLICABLE — product-gallery media; no installation authorship claim","Владелец подтвердил принадлежность кадра gallery этого SKU. Дополнительный товарный кадр классифицирован как product_detail. Права подтверждены; quality sign-off остаётся отдельным.","YES"
"MF-MAR-0124","Вайт Джейд","Гибкий мрамор","https://marmixflex.ru/tproduct/1706353951-729609253371-vait-dzheid","https://static.tildacdn.com/stor3930-6430-4836-a633-313138346465/55640584.png","product_primary","YES","OWNER CONFIRMED — this source product page gallery is the intended media set for this SKU","OWNER CONFIRMED RIGHT","NO","«Вайт Джейд» — товарное изображение; без неподтверждённых свойств","4","1","OWNER REVIEW REQUIRED — review selected unique asset once before production","NOT APPLICABLE — product-gallery media; no installation authorship claim","Владелец подтвердил галерею source product page как intended media set этого SKU. Права подтверждены. Качество selected media требует отдельного визуального sign-off.","YES"
"MF-MAR-0124","Вайт Джейд","Гибкий мрамор","https://marmixflex.ru/tproduct/1706353951-729609253371-vait-dzheid","https://static.tildacdn.com/stor6164-6466-4332-b137-376436633133/72496889.png","product_detail","NO","OWNER CONFIRMED — this source product page gallery is the intended media set for this SKU","OWNER CONFIRMED RIGHT","NO","Деталь товара «Вайт Джейд»","4","2","OWNER REVIEW REQUIRED — review selected unique asset once before production","NOT APPLICABLE — product-gallery media; no installation authorship claim","Владелец подтвердил принадлежность кадра gallery этого SKU. Дополнительный товарный кадр классифицирован как product_detail. Права подтверждены; quality sign-off остаётся отдельным.","YES"
"MF-MAR-0124","Вайт Джейд","Гибкий мрамор","https://marmixflex.ru/tproduct/1706353951-729609253371-vait-dzheid","https://static.tildacdn.com/stor3061-6564-4561-b461-353639303566/52265645.jpg","product_detail","NO","OWNER CONFIRMED — this source product page gallery is the intended media set for this SKU","OWNER CONFIRMED RIGHT","NO","Деталь товара «Вайт Джейд»","4","3","OWNER REVIEW REQUIRED — review selected unique asset once before production","NOT APPLICABLE — product-gallery media; no installation authorship claim","Владелец подтвердил принадлежность кадра gallery этого SKU. Дополнительный товарный кадр классифицирован как product_detail. Права подтверждены; quality sign-off остаётся отдельным.","YES"
"MF-MAR-0124","Вайт Джейд","Гибкий мрамор","https://marmixflex.ru/tproduct/1706353951-729609253371-vait-dzheid","https://static.tildacdn.com/stor3031-6165-4661-a134-333634363564/28400781.jpg","product_detail","NO","OWNER CONFIRMED — this source product page gallery is the intended media set for this SKU","OWNER CONFIRMED RIGHT","NO","Деталь товара «Вайт Джейд»","4","4","OWNER REVIEW REQUIRED — review selected unique asset once before production","NOT APPLICABLE — product-gallery media; no installation authorship claim","Владелец подтвердил принадлежность кадра gallery этого SKU. Дополнительный товарный кадр классифицирован как product_detail. Права подтверждены; quality sign-off остаётся отдельным.","YES"
"MF-MAR-0106","Валетта","Гибкий мрамор","https://marmixflex.ru/tproduct/1706353951-653334556751-valetta","https://static.tildacdn.com/stor6231-3731-4530-a132-383864623536/57595041.png","product_primary","YES","OWNER CONFIRMED — this source product page gallery is the intended media set for this SKU","OWNER CONFIRMED RIGHT","NO","«Валетта» — товарное изображение; без неподтверждённых свойств","4","1","OWNER REVIEW REQUIRED — review selected unique asset once before production","NOT APPLICABLE — product-gallery media; no installation authorship claim","Владелец подтвердил галерею source product page как intended media set этого SKU. Права подтверждены. Качество selected media требует отдельного визуального sign-off.","YES"
"MF-MAR-0106","Валетта","Гибкий мрамор","https://marmixflex.ru/tproduct/1706353951-653334556751-valetta","https://static.tildacdn.com/stor6339-3237-4461-b564-626333633133/46639555.png","product_detail","NO","OWNER CONFIRMED — this source product page gallery is the intended media set for this SKU","OWNER CONFIRMED RIGHT","NO","Деталь товара «Валетта»","4","2","OWNER REVIEW REQUIRED — review selected unique asset once before production","NOT APPLICABLE — product-gallery media; no installation authorship claim","Владелец подтвердил принадлежность кадра gallery этого SKU. Дополнительный товарный кадр классифицирован как product_detail. Права подтверждены; quality sign-off остаётся отдельным.","YES"
"MF-MAR-0106","Валетта","Гибкий мрамор","https://marmixflex.ru/tproduct/1706353951-653334556751-valetta","https://static.tildacdn.com/stor3565-3861-4936-a561-656263646639/91071364.jpg","product_detail","NO","OWNER CONFIRMED — this source product page gallery is the intended media set for this SKU","OWNER CONFIRMED RIGHT","NO","Деталь товара «Валетта»","4","3","OWNER REVIEW REQUIRED — review selected unique asset once before production","NOT APPLICABLE — product-gallery media; no installation authorship claim","Владелец подтвердил принадлежность кадра gallery этого SKU. Дополнительный товарный кадр классифицирован как product_detail. Права подтверждены; quality sign-off остаётся отдельным.","YES"
"MF-MAR-0106","Валетта","Гибкий мрамор","https://marmixflex.ru/tproduct/1706353951-653334556751-valetta","https://static.tildacdn.com/stor6330-3833-4439-a638-653039363437/59234605.jpg","product_detail","NO","OWNER CONFIRMED — this source product page gallery is the intended media set for this SKU","OWNER CONFIRMED RIGHT","NO","Деталь товара «Валетта»","4","4","OWNER REVIEW REQUIRED — review selected unique asset once before production","NOT APPLICABLE — product-gallery media; no installation authorship claim","Владелец подтвердил принадлежность кадра gallery этого SKU. Дополнительный товарный кадр классифицирован как product_detail. Права подтверждены; quality sign-off остаётся отдельным.","YES"
"MF-MAR-0103","Голден Браун","Гибкий мрамор","https://marmixflex.ru/tproduct/1706353951-639266239551-golden-braun","https://static.tildacdn.com/stor3635-3230-4462-b562-363737663863/60073189.png","product_primary","YES","OWNER CONFIRMED — this source product page gallery is the intended media set for this SKU","OWNER CONFIRMED RIGHT","NO","«Голден Браун» — товарное изображение; без неподтверждённых свойств","3","1","OWNER REVIEW REQUIRED — review selected unique asset once before production","NOT APPLICABLE — product-gallery media; no installation authorship claim","Владелец подтвердил галерею source product page как intended media set этого SKU. Права подтверждены. Качество selected media требует отдельного визуального sign-off.","YES"
"MF-MAR-0103","Голден Браун","Гибкий мрамор","https://marmixflex.ru/tproduct/1706353951-639266239551-golden-braun","https://static.tildacdn.com/stor6661-3665-4135-b961-366339643164/42524826.png","product_detail","NO","OWNER CONFIRMED — this source product page gallery is the intended media set for this SKU","OWNER CONFIRMED RIGHT","NO","Деталь товара «Голден Браун»","3","2","OWNER REVIEW REQUIRED — review selected unique asset once before production","NOT APPLICABLE — product-gallery media; no installation authorship claim","Владелец подтвердил принадлежность кадра gallery этого SKU. Дополнительный товарный кадр классифицирован как product_detail. Права подтверждены; quality sign-off остаётся отдельным.","YES"
"MF-MAR-0103","Голден Браун","Гибкий мрамор","https://marmixflex.ru/tproduct/1706353951-639266239551-golden-braun","https://static.tildacdn.com/stor6338-3863-4463-b061-623032363838/26379727.jpg","product_detail","NO","OWNER CONFIRMED — this source product page gallery is the intended media set for this SKU","OWNER CONFIRMED RIGHT","NO","Деталь товара «Голден Браун»","3","3","OWNER REVIEW REQUIRED — review selected unique asset once before production","NOT APPLICABLE — product-gallery media; no installation authorship claim","Владелец подтвердил принадлежность кадра gallery этого SKU. Дополнительный товарный кадр классифицирован как product_detail. Права подтверждены; quality sign-off остаётся отдельным.","YES"
"MF-MAR-0132","Гриджио Карниго","Гибкий мрамор","https://marmixflex.ru/tproduct/1706353951-793312804621-gridzhio-karnigo","https://static.tildacdn.com/stor3434-3566-4130-b734-373165303539/16672802.png","product_primary","YES","OWNER CONFIRMED — this source product page gallery is the intended media set for this SKU","OWNER CONFIRMED RIGHT","NO","«Гриджио Карниго» — товарное изображение; без неподтверждённых свойств","4","1","OWNER REVIEW REQUIRED — review selected unique asset once before production","NOT APPLICABLE — product-gallery media; no installation authorship claim","Владелец подтвердил галерею source product page как intended media set этого SKU. Права подтверждены. Качество selected media требует отдельного визуального sign-off.","YES"
"MF-MAR-0132","Гриджио Карниго","Гибкий мрамор","https://marmixflex.ru/tproduct/1706353951-793312804621-gridzhio-karnigo","https://static.tildacdn.com/stor3536-3032-4339-b739-353163313264/96785478.png","product_detail","NO","OWNER CONFIRMED — this source product page gallery is the intended media set for this SKU","OWNER CONFIRMED RIGHT","NO","Деталь товара «Гриджио Карниго»","4","2","OWNER REVIEW REQUIRED — review selected unique asset once before production","NOT APPLICABLE — product-gallery media; no installation authorship claim","Владелец подтвердил принадлежность кадра gallery этого SKU. Дополнительный товарный кадр классифицирован как product_detail. Права подтверждены; quality sign-off остаётся отдельным.","YES"
"MF-MAR-0132","Гриджио Карниго","Гибкий мрамор","https://marmixflex.ru/tproduct/1706353951-793312804621-gridzhio-karnigo","https://static.tildacdn.com/stor3836-3230-4939-a638-343434333166/90738247.jpg","product_detail","NO","OWNER CONFIRMED — this source product page gallery is the intended media set for this SKU","OWNER CONFIRMED RIGHT","NO","Деталь товара «Гриджио Карниго»","4","3","OWNER REVIEW REQUIRED — review selected unique asset once before production","NOT APPLICABLE — product-gallery media; no installation authorship claim","Владелец подтвердил принадлежность кадра gallery этого SKU. Дополнительный товарный кадр классифицирован как product_detail. Права подтверждены; quality sign-off остаётся отдельным.","YES"
"MF-MAR-0132","Гриджио Карниго","Гибкий мрамор","https://marmixflex.ru/tproduct/1706353951-793312804621-gridzhio-karnigo","https://static.tildacdn.com/stor3533-6434-4664-b739-663532363265/62479825.jpg","product_detail","NO","OWNER CONFIRMED — this source product page gallery is the intended media set for this SKU","OWNER CONFIRMED RIGHT","NO","Деталь товара «Гриджио Карниго»","4","4","OWNER REVIEW REQUIRED — review selected unique asset once before production","NOT APPLICABLE — product-gallery media; no installation authorship claim","Владелец подтвердил принадлежность кадра gallery этого SKU. Дополнительный товарный кадр классифицирован как product_detail. Права подтверждены; quality sign-off остаётся отдельным.","YES"
